Catégories,Sous-catégories,Produits ,Alternatives,Descriptions ,Où trouver,Liens,Lien de l'image,Filtre
Maison,Conservation,Boîte de conservation plastique,Boîte de conservation en Verre,"Qui peut résister durablement  au lave-vaisselle, au four et au micro-onde ? Ce sont les boites de conservation en verre ! Avec, tu pourras conserver, transporter et réchauffer tes petits plats. En fait, il nous suffit juste de te dire qu'elles sont éco-responsables et (vraiment) multi-usages, et tu sais tout !",N'hésite pas et va jeter un oeil sur Sans BPA !,https://www.sans-bpa.com/961-boites-verre,https://images-na.ssl-images-amazon.com/images/I/91ggQAgoHcL._AC_SL1500_.jpg,En ligne
Maison,Cuisson,Casserole,Casserole en Inox ,"Les casseroles en Inox te permettent de cuire tes aliments de manière plus saine et de réduire ton impact écologique. En effet, elles sont dépourvues de revêtements anti-adhésif qui sont toxiques pour la santé et pour l'environnement. Les casseroles en Inox sont très résistantes et faciles à nettoyer.  ",Les casseroles en Inox sont disponibles sur Un Coq Dans La Transat.,https://uncoqdansletransat.fr/65-casseroles-poeles-faitouts,https://amelioretasante.com/wp-content/uploads/2018/07/casseroles-nettoyer.jpg,En ligne
Maison,Cuisson,Casserole,Casserole en Inox ,"Une casserole en inox est naturellement anti-adhésive grâce à sa matière. Ainsi tu peux éviter d'acheter des casseroles contenant des produits anti-adhésifs nocifs pour la santé. De plus, l'inox est un matériau solide et durable. Cette option semble être la meilleure pour l'environnement.",Tu peux trouver toutes les références de casseroles sur le site Cristel !,https://www.cristel.com/,https://www.cristel.com/ressources/produits/photos/zoom_cxxqmp2.jpg,En ligne
Maison,Cuisson,Poêle,Poêle en fonte ,Les poêles en fonte sont incassables. L'absence de revêtement anti-adhésif permet une durabilité et une cuisine plus saine. ,Les poêles en fonte sont disponibles sur Staub Online.,https://www.staub-online.com/content/staub/fr/fr/categories/fonte.html,https://www.collinishop.it/media/catalog/product/cache/all/image/1800x/040ec09b1e35df139433887a97daa66f/s/t/staub-pan_2.jpg,En ligne
Maison,Cuisson,Poêle,Poêle en fonte ,"Super durable et incassables, qui sont-elles ? Ce sont les poêles en fonte qui te garantissent une cuisine et une planèten plus saines !",N'hésites plus et va jeter un oeil sur Le Creuset !,https://www.lecreuset.fr/recherche-par-materiel/fonte-emaillee/shopby/,https://cdn.cutleryandmore.com/media/images/17777.jpg,En ligne
Maison,Cuisson,Poêle,Poêle en inox ,"Les poêles en Inox permettent de cuire tes aliments sainement tout en réduisant ton impact écologique. Leurs secrets ? Elles sont dépourvues de revêtements anti-adhésif qui sont toxiques toi et la planète. De plus, elles sont très résistantes et faciles à nettoyer.  ",Des poêles en inox sont disponibles chez Cristel (le site web et pas ton amie du même nom) !,https://www.cristel.com/,https://cdn4.lacasserolerie.com/I-Grande-24448-castel-pro-mini-poele-creuse-sautoir-inox-cristel-d12.net.jpg,En ligne
Maison,Cuisson,Poêle,Poêle en inox ,"Comment cuisiner sainement et protéger la planète en même temps ? Tout simplement, avec les poêles en Inox. Dépourvues de revêtements toxiques, les poêles en Inox sont très résistantes et faciles à entretenir !","Pour découvrir ces poêles en inox chez un Coq dans le Transat, c'est juste ici !",https://uncoqdansletransat.fr/65-casseroles-poeles-faitouts,https://www.vita.gr/wp-content/uploads/2019/09/shutterstock_164132069.jpg,En ligne
Maison,Cuisson,Cocotte minute,Cocote minute garantie à vie en fonte,Les cocottes en fonte sont incassables. L'absence de revêtement permet une durabilité et une cuisine plus saine. Certaines restent même dans les familles pendant plusieurs générations ! ,"Sur Le Creuset, tu peux trouver en un clic ce type de Cocottes Minute !",https://www.lecreuset.fr/recherche-par-materiel/fonte-emaillee/shopby/,https://www.lecreuset.co.za/blog/wp-content/uploads/2019/12/hex.jpg,En ligne
Maison,Cuisson,Cocotte minute,Cocote minute garantie à vie en fonte,"Les cocottes en fonte ont de nombreux super-pouvoirs ! En effet, elles sont incassables, durables et permettent une cuisine plus saine. Votre cocotte en fonte deviendra bientôt un membre à part entière de la famille !",Tu n'as plus une minute à perdre pour en savoir plus ! Cours par ici sur Staub Online !,https://www.staub-online.com/content/staub/fr/fr/categories/fonte.html,https://kissmychef.com/wp-content/uploads/2020/07/STAUB-Cocotte-de-la-mer-4.jpg,En ligne
Maison,Cuisson,Papier cuisson,Papier cuisson 100% compostable,"Le papier cuisson 100% compostable n'a subi aucun traitement chimique. C'est cool pour ta santé et pour la planète. Le + c'est qu'il ne change rien à l'utilisation classique du papier cuisson, il est tout aussi résistant à la chaleur mais il peut aussi servir pour emballer les aliments : fromage, charcuterie, légume.... ! ",Greenweez te propose une recharche de papier cuisson écologique.,https://www.greenweez.com/ah-table-recharge-papier-cuisson-ecologique-39cm-x-15m-p26533?term=,https://img.cuisineaz.com/680x357/2019-06-12/i147575-papier-sulfurise.jpeg,En ligne
Maison,Cuisson,Papier cuisson,Papier cuisson 100% compostable,"Ce papier cuisson, peut aussi bien aller au four, que servir à emballer tes aliments,  tout en étant biodégradable. Il est non-blanchis et n'a reçu aucun traitement. C'est un bien pour toi et ta planète.","Retrouve ce rouleau de papier sur ""toutallantvert"".",https://www.toutallantvert.com/papier-sulfurise-four-et-cuisson-ecologique-compostable-et-recyclable-p-70.html,https://cdn.teb21.com/thumb/1280/028/what-is-parchment-paper.webp,En ligne
Maison,Cuisson,Moules à cuisson,Silicone,Prévilégier des moules à cuisson en silicone permet de garantir une durabilité et donc de réduire son impact écologique. ,Les moules en silicone sont disponibles sur Debuyer !,https://www.debuyer.com/fr/products/moules-souples,https://images-na.ssl-images-amazon.com/images/I/71OBRcvW6gL._SX679_.jpg,En ligne
Maison,Ustensile,Spatule/Cuillère, Bambou,Prévilégier des ustensiles de cuisine en bambou permet de garantir une cuisine saine pour toi mais aussi pour la planète. ,Les ustensiles en bambou sont disponibles sur La Maison du Bambou !,https://lamaisondubambou.com/collections/ustensile-et-accessoire-pour-cuisiner ,https://greenpioneer.co.uk/4992-large_default/organic-essentials-utensil-set-set-of-4.jpg,En ligne
Maison,Ustensile,Pailles,Pailles en Bambou,"Progressivement interdites dans de nombreux pays, les pailles en plastiques asphyxient nos océans. Alors, pour boire ton cocktail préférée (sans alcool) sur la plage, tu peux opter pour ses incroyables pailles réutilisables en bambou !","Maison du Monde te propose ses pailles en bambou, juste ici !",https://www.maisonsdumonde.com/FR/fr/p/pailles-en-bambou-x6-205423.htm,https://image.made-in-china.com/2f0j00tIsGehMzAnkZ/Natural-Bamboo-Straw-Eco-Friendly-Product-for-Drinking.webp,En ligne
Maison,Ustensile,Batteur Electrique,Batteur à Manivelle,"Pour remplacer ton batteur électrique (qui t'a peut être encore laché), nous te proposons le batteur à manivelle. Il est durable, réparable (presque à l'infini) et sans batterie. Et si un orage coupe l'électricité chez toi, tu peux toujours faire ton gâteau préféré !","Nous te proposons le modèle en inox et à manivelle chez Greenweez, juste ici !",https://www.greenweez.com/lacor-batteur-melangeur-a-manivelle-inox-p17364?gclid=Cj0KCQiAqNPyBRCjARIsAKA-WFxmBgb1TV1H7bEiS35k08HLazc3BqTyOAtzhFOEHfFITmv1f8dScR4aArbfEALw_wcB,https://images-na.ssl-images-amazon.com/images/I/71f9HFQccWL._SL1500_.jpg,En ligne
Maison,Scolaire,Cahier,Cahier recyclé,Ce cahier recyclé est issue de papier récupérés post-consommation.,Esprit recyclé a pour objectif de rendre plus abordable les écologiques pour tous les usagers,https://www.esprit-recycle.fr/cahiers-scolaires-ecologiques/242-cahier-a4-recycle-pique-seyes-96p-forever-clairefontaine-3210330171234.html,https://cdn.shopify.com/s/files/1/0082/0746/6576/products/carnet-recycle-pampa-greenandpaper_1024x1024@2x.jpg?v=1570914412,En ligne
Maison,Vétements,Hopaal,Marque de vétements recyclés,"Hopaal est une marque de vétements qui propose des vétements recyclés. En 2020, 82% de leurs matières étatient recyclées.",N'hésite pas à aller voir le site de de Hopaal,https://hopaal.com/,http://chasseursdecool.fr/wp-content/uploads/2017/03/hopaal-t-shirt-recycle-france-bouteilles-coton-bio-home.jpg,En ligne
