PRODUIT,ALTERNATIVES,RÉSUMÉ,POINT DE VENTE,SOURCE,MOT CLES
cafetière,cafetière éléctrique,,,https://www.maxicoffee.com/chemex-m-197.html,"café, cafetière"
pince à linge,pince à linge en bois, En bois de hêtre,greenweez,https://www.greenweez.com/la-droguerie-ecologique-50-pinces-a-linge-en-bois-p5906,"linge, pince à linge"
tuperwear,pot de concervation/pot de confiture ou compote en verre ,"Le verre est composé de minéraux naturels (sable, calcaire et carbonate de soude). Il est le matériau idéal pour la conservation alimentaire grâce à sa neutralité et sa stabilité",Greenweez,https://www.greenweez.com/ah-table-pot-de-conservation-en-verre-avec-couvercle-en-liege-30cl-p102110     https://www.boboco.fr/content/15-pourquoi-choisir-le-verre,
tuperwear,boite en aluminium,Durable toute une vie ,Bento and co ,https://www.bentoandco.com/collections/sans-plastique/products/zen-04-bento-acier,
tuperwear,boite en bambou,Durable toute une vie ,Bento and co ,https://www.bentoandco.com/collections/sans-plastique/products/magewappa-original,
cocotte minute,cocote minute garantie à vie en fonte,"Garanti à vie, durable",Mathon,https://www.mathon.fr/cat-cuisson/cocottes-roasters/Chasseur-Cocotte-Sublime-fonte-rond-5-L-26-cm-caviar-PID213234.aspx#infos-produit,
éponge à vaisselle,tawashi (éponge japonaise),"Tissu naturel, coton, lavable et réutilisable, plus durable",Etsy ,https://www.etsy.com/search/?q=tawashi&order=most_relevant&view_type=gallery&awc=7432_1582552650_787014efa0fa28fa0a15b6ea3c30de77&utm_medium=affiliate&utm_source=affiliate_window&utm_campaign=fr_buyer&utm_content=433417&utm_term=146067,
éponge à vaisselle,tutoriel tawashi,,,https://laissonsluciefaire.com/2017/03/26/le-jour-ou-jai-remplace-mes-eponges-par-des-tawashis/,
éponge à vaisselle,tutoriel tawashi vidéo,,,https://www.youtube.com/watch?v=q-f1tThjxEI&ab_channel=KaizenMagazine,
film alimentaire,tuto wrap cie d'abeille,,,https://laissonsluciefaire.com/2017/12/23/beeswax-wrap/,
papier cadeau,Furoshiki (pièce de tissu),Emballer ses cadeaux avec du tissu réutilisable,,,
papier cuisson,papier cuisson 100% compostable,papier écologique 100% compostable,greenweez,https://www.greenweez.com/ah-table-recharge-papier-cuisson-ecologique-39cm-x-15m-p26533,
essuie tout,éssuie tout réutilisable,Rouleau essuie tout lavable avec pression pour les accrocher ensemble. réutilisable,sevellia ,https://sevellia.com/rouleau-essuie-tout.html,
,,,,,
spatule,spatule inox,"Plus durable que le plastique, se nettoie plus facilement et supporte les grandes températures",Ecotel bordeux,https://www.ecotel-bordeaux.fr/,
spatule,spatule bois de bambou,Plus durable et biodégradable,Maison du monde ,https://www.maisonsdumonde.com/FR/fr/magasins/bordeaux-27,
cuillère de cuisine,cuillère de cuisine inox,,,,
cuillère de cuisine,cuillère de cuisine bois,,,,
batteur électrique,batteur mélangeur à manivelle inox ,"Pas d'electricité, réparale et durable",greenweez,https://www.greenweez.com/lacor-batteur-melangeur-a-manivelle-inox-p17364?gclid=Cj0KCQiAqNPyBRCjARIsAKA-WFxmBgb1TV1H7bEiS35k08HLazc3BqTyOAtzhFOEHfFITmv1f8dScR4aArbfEALw_wcB,
moule en silicone,Moule en inox ,"Plus durable, moins dur à fabriquer",greenweez,https://www.greenweez.com/gobel-moule-12-madeleines-de-80-mm-p16771?gclid=Cj0KCQiAqNPyBRCjARIsAKA-WFzWWOfjdlkOqgyb3iVVw4Smwj06qKELillmtCvNUowBOpUsDgJw6voaAj7GEALw_wcB,
papier sulfurisée,farine,,,,
essoreuse à salade,torchon/ egoutoire,,,,
